Crop Name,Type of Fertilizer,Time,Best Season,Best Soil,Type
Cranberries,Potassium-based fertilizer,135,Kharif,Peat soil,Fruit
Peaches,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Pears,Phosphorus-based fertilizer,1460,Kharif,Loamy soil,Fruit
Plums,Potassium-based fertilizer,365,Kharif,Clay soil,Fruit
Cherries,Nitrogen-based fertilizer,135,Kharif,Sandy loam,Fruit
Raspberries,Potassium-based fertilizer,135,Rabi,Loamy soil,Fruit
Blackberries,Nitrogen-based fertilizer,135,Kharif,Sandy loam,Fruit
Pomegranates,Potassium-based fertilizer,365,Rabi,Loamy soil,Fruit
Apricots,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Tangerines,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Nectarines,Potassium-based fertilizer,365,Rabi,Sandy loam,Fruit
Kiwi,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Fruit
Lima Beans,Phosphorus-based fertilizer,90,Kharif,Sandy loam,Legume
Chickpeas,Potassium-based fertilizer,90,Rabi,Loamy soil,Legume
Lentils,Nitrogen-based fertilizer,80,Rabi,Sandy loam,Legume
Peanuts,Phosphorus-based fertilizer,120,Kharif,Sandy loam,Legume
Almonds,Potassium-based fertilizer,730,Kharif,Sandy loam,Fruit
Cashews,Nitrogen-based fertilizer,365,Rabi,Laterite soil,Fruit
Pistachios,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Hazelnuts,Potassium-based fertilizer,365,Rabi,Loamy soil,Fruit
Macadamia Nuts,Nitrogen-based fertilizer,730,Kharif,Loamy soil,Fruit
Walnuts,Phosphorus-based fertilizer,365,Rabi,Sandy loam,Fruit
Chestnuts,Potassium-based fertilizer,365,Kharif,Loamy soil,Fruit
Pecans,Nitrogen-based fertilizer,730,Rabi,Sandy loam,Fruit
Hops,Phosphorus-based fertilizer,150,Kharif,Loamy soil,Fiber
Flaxseed,Potassium-based fertilizer,100,Rabi,Sandy loam,Fiber
Sunflower Seeds,Nitrogen-based fertilizer,90,Kharif,Loamy soil,Fiber
Sesame Seeds,Phosphorus-based fertilizer,120,Rabi,Sandy loam,Fiber
Cottonseed,Potassium-based fertilizer,150,Kharif,Black soil,Fiber
Jute,Nitrogen-based fertilizer,120,Rabi,Alluvial soil,Fiber
Hemp,Phosphorus-based fertilizer,150,Kharif,Loamy soil,Fiber
Kenaf,Potassium-based fertilizer,180,Rabi,Clay soil,Fiber
Tobacco,Nitrogen-based fertilizer,120,Kharif,Sandy loam,Fiber
Quinoa,Phosphorus-based fertilizer,90,Rabi,Sandy loam,Cereal
Amaranth,Potassium-based fertilizer,100,Kharif,Loamy soil,Cereal
Millet,Nitrogen-based fertilizer,90,Rabi,Sandy loam,Cereal
Barley,Phosphorus-based fertilizer,120,Kharif,Loamy soil,Cereal
Oats,Potassium-based fertilizer,100,Rabi,Clay loam,Cereal
Rye,Nitrogen-based fertilizer,90,Kharif,Sandy loam,Cereal
Triticale,Phosphorus-based fertilizer,120,Rabi,Loamy soil,Cereal
Sorghum,Potassium-based fertilizer,100,Kharif,Sandy loam,Cereal
Flax,Nitrogen-based fertilizer,90,Rabi,Loamy soil,Fiber
Ramie,Phosphorus-based fertilizer,120,Kharif,Clay soil,Fiber
Abaca,Potassium-based fertilizer,150,Rabi,Peat soil,Fiber
Sisal,Nitrogen-based fertilizer,120,Kharif,Sandy loam,Fiber
Kapok,Phosphorus-based fertilizer,150,Rabi,Loamy soil,Fiber
Coir,Potassium-based fertilizer,180,Kharif,Clay soil,Fiber
Mulberry,Nitrogen-based fertilizer,120,Rabi,Sandy loam,Fiber
Silk,Nitrogen-based fertilizer,150,Kharif,Sandy loam,Fiber
Linseed,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Fiber
Bamboo,Potassium-based fertilizer,365,Kharif,Loamy soil,Fiber
Henequen,Nitrogen-based fertilizer,180,Rabi,Clay soil,Fiber
Jute,Phosphorus-based fertilizer,210,Kharif,Alluvial soil,Fiber
Ramie,Potassium-based fertilizer,240,Rabi,Loamy soil,Fiber
Sisal,Nitrogen-based fertilizer,270,Kharif,Alluvial soil,Fiber
Buckwheat,Phosphorus-based fertilizer,70,Rabi,Sandy loam,Cereal
Tea,Potassium-based fertilizer,365,Rabi,Loamy soil,Beverage
Coffee,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Beverage
Saffron,Phosphorus-based fertilizer,180,Rabi,Sandy loam,Spice
Vanilla,Potassium-based fertilizer,365,Kharif,Loamy soil,Spice
Cinnamon,Nitrogen-based fertilizer,365,Rabi,Alluvial soil,Spice
Nutmeg,Phosphorus-based fertilizer,180,Kharif,Laterite soil,Spice
Cardamom,Potassium-based fertilizer,365,Rabi,Loamy soil,Spice
Ginger,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Turmeric,Phosphorus-based fertilizer,180,Rabi,Alluvial soil,Spice
Paprika,Potassium-based fertilizer,365,Kharif,Loamy soil,Spice
Coriander,Nitrogen-based fertilizer,180,Rabi,Sandy loam,Spice
Cumin,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Basil,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Mint,Nitrogen-based fertilizer,180,Kharif,Clay loam,Herb
Rosemary,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Thyme,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Oregano,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Parsley,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Dill,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Chives,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Bay leaf,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Sage,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Fennel,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Cloves,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Spice
Allspice,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Anise,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Nigella,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Spice
Annatto,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Wasabi,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Mace,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Spice
Szechuan Pepper,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Juniper,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Caraway,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Spice
Pimento,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Capers,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Lovage,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Tarragon,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Angelica,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Marjoram,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Savory,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Borage,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Lavender,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Camomile,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Comfrey,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Hyssop,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Lemon balm,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Mugwort,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Pennyroyal,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Rue,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Sweet woodruff,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Wormwood,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Yarrow,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Galangal,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Kaffir lime leaves,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Spice
Patchouli,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Licorice,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Bergamot,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Spice
Calendula,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Chamomile,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Dandelion,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Echinacea,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Evening primrose,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Feverfew,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Ginseng,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Horehound,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Lemon verbena,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Lemon grass,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Marshmallow,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Mullein,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
St. John's wort,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Tansy,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Valerian,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Wild lettuce,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Wood betony,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Yarrow,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Za'atar,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Chicory,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Madder,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Woad,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Alfalfa,Nitrogen-based fertilizer,30,Kharif,Sandy loam,Legume
Clover,Phosphorus-based fertilizer,60,Kharif,Loamy soil,Legume
Cowpeas,Potassium-based fertilizer,90,Kharif,Clay loam,Legume
Fava beans,Nitrogen-based fertilizer,120,Kharif,Alluvial soil,Legume
Velvet beans,Phosphorus-based fertilizer,150,Rabi,Laterite soil,Legume
Buckwheat,Potassium-based fertilizer,70,Rabi,Sandy loam,Cereal
Tea,Potassium-based fertilizer,365,Rabi,Loamy soil,Beverage
Coffee,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Beverage
Saffron,Phosphorus-based fertilizer,180,Rabi,Sandy loam,Spice
Vanilla,Potassium-based fertilizer,365,Kharif,Loamy soil,Spice
Cinnamon,Nitrogen-based fertilizer,365,Rabi,Alluvial soil,Spice
Nutmeg,Phosphorus-based fertilizer,180,Kharif,Laterite soil,Spice
Cardamom,Potassium-based fertilizer,365,Rabi,Loamy soil,Spice
Ginger,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Turmeric,Phosphorus-based fertilizer,180,Rabi,Alluvial soil,Spice
Paprika,Potassium-based fertilizer,365,Kharif,Loamy soil,Spice
Coriander,Nitrogen-based fertilizer,180,Rabi,Sandy loam,Spice
Cumin,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Basil,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Mint,Nitrogen-based fertilizer,180,Kharif,Clay loam,Herb
Rosemary,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Thyme,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Oregano,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Parsley,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Dill,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Chives,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Bay leaf,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Sage,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Fennel,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Cloves,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Spice
Allspice,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Anise,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Nigella,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Spice
Annatto,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Wasabi,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Mace,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Spice
Szechuan Pepper,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Juniper,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Caraway,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Spice
Pimento,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Capers,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Lovage,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Tarragon,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Angelica,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Marjoram,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Savory,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Borage,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Lavender,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Camomile,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Comfrey,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Hyssop,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Lemon balm,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Mugwort,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Pennyroyal,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Rue,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Sweet woodruff,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Wormwood,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Yarrow,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Galangal,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Kaffir lime leaves,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Spice
Patchouli,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Licorice,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Bergamot,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Spice
Calendula,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Chamomile,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Dandelion,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Echinacea,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Evening primrose,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Feverfew,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Ginseng,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Horehound,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Lemon verbena,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Lemon grass,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Marshmallow,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Mullein,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
St. John's wort,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Tansy,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Valerian,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Wild lettuce,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Wood betony,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Yarrow,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Herb
Za'atar,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Chicory,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Madder,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Herb
Woad,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Agave,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fiber
Sisal,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Coir,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fiber
Ramie,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fiber
Flax,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Hemp,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fiber
Kenaf,Nitrogen-based fertilizer,365,Rabi,Laterite soil,Fiber
Jute,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Cotton,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Fiber
Hemp,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fiber
Kenaf,Nitrogen-based fertilizer,365,Rabi,Laterite soil,Fiber
Jute,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Cotton,Phosphorus-based fertilizer,180,Rabi,Loamy soil,Fiber
Flaxseed,Nitrogen-based fertilizer,90,Kharif,Loamy soil,Fiber
Sunflower Seeds,Phosphorus-based fertilizer,90,Rabi,Loamy soil,Fiber
Sesame Seeds,Potassium-based fertilizer,120,Kharif,Loamy soil,Fiber
Cottonseed,Nitrogen-based fertilizer,150,Rabi,Alluvial soil,Fiber
Jute,Phosphorus-based fertilizer,180,Kharif,Loamy soil,Fiber
Hemp,Potassium-based fertilizer,210,Rabi,Clay soil,Fiber
Kenaf,Nitrogen-based fertilizer,240,Kharif,Laterite soil,Fiber
Tobacco,Phosphorus-based fertilizer,365,Rabi,Sandy loam,Fiber
Quinoa,Potassium-based fertilizer,365,Kharif,Loamy soil,Cereal
Amaranth,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Cereal
Millet,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Cereal
Barley,Potassium-based fertilizer,365,Rabi,Alluvial soil,Cereal
Oats,Nitrogen-based fertilizer,365,Kharif,Clay loam,Cereal
Rye,Phosphorus-based fertilizer,365,Rabi,Sandy loam,Cereal
Triticale,Potassium-based fertilizer,365,Kharif,Loamy soil,Cereal
Sorghum,Nitrogen-based fertilizer,365,Rabi,Alluvial soil,Cereal
Flax,Nitrogen-based fertilizer,365,Kharif,Loamy soil,Fiber
Ramie,Phosphorus-based fertilizer,365,Rabi,Clay soil,Fiber
Abaca,Potassium-based fertilizer,365,Kharif,Peat soil,Fiber
Sisal,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fiber
Kapok,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fiber
Coir,Potassium-based fertilizer,365,Rabi,Clay soil,Fiber
Mulberry,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fiber
Silk,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fiber
Bamboo,Nitrogen-based fertilizer,365,Rabi,Alluvial soil,Fiber
Coriander,Nitrogen-based fertilizer,60,Rabi,Sandy loam,Herb
Basil,Phosphorus-based fertilizer,90,Kharif,Loamy soil,Herb
Mint,Potassium-based fertilizer,120,Rabi,Alluvial soil,Herb
Thyme,Nitrogen-based fertilizer,60,Kharif,Sandy loam,Herb
Rosemary,Phosphorus-based fertilizer,90,Rabi,Loamy soil,Herb
Saffron,Potassium-based fertilizer,120,Kharif,Alluvial soil,Spice
Cinnamon,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Nutmeg,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Cardamom,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Turmeric,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Ginger,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Spice
Cumin,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Paprika,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Vanilla,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Star anise,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Fenugreek,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Mustard,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Lovage,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Sesame,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Poppy,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Fennel,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Chamomile,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Dill,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Caraway,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Parsley,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Oregano,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Sage,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Tarragon,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Lemongrass,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Bay leaf,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Juniper,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Coriander,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Basil,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Mint,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Thyme,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Rosemary,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Saffron,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Cinnamon,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Nutmeg,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Cardamom,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Turmeric,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Spice
Ginger,Potassium-based fertilizer,365,Kharif,Alluvial soil,Spice
Cumin,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Spice
Paprika,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Spice
Vanilla,Potassium-based fertilizer,365,Rabi,Alluvial soil,Spice
Star anise,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Spice
Fenugreek,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Mustard,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Lovage,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Sesame,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Poppy,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Fennel,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Chamomile,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Dill,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Caraway,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Parsley,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Oregano,Potassium-based fertilizer,365,Rabi,Alluvial soil,Herb
Sage,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Herb
Tarragon,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Herb
Lemongrass,Potassium-based fertilizer,365,Kharif,Alluvial soil,Herb
Bay leaf,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Herb
Juniper,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Herb
Pouteria campechiana,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Pulasan,Potassium-based fertilizer,365,Rabi,Alluvial soil,Fruit
Purple mangosteen,Nitrogen-based fertilizer,365,Kharif,Sandy loam,Fruit
Rambai,Phosphorus-based fertilizer,365,Rabi,Loamy soil,Fruit
Red mombin,Potassium-based fertilizer,365,Kharif,Alluvial soil,Fruit
Rose apple,Nitrogen-based fertilizer,365,Rabi,Sandy loam,Fruit
Safou,Phosphorus-based fertilizer,365,Kharif,Loamy soil,Fruit
Salak,Phosphorus-based fertilizer,365,Rabi,Alluvial soil,Fruit
Santol,Potassium-based fertilizer,365,Kharif,Sandy loam,Fruit
Snake fruit,Nitrogen-based fertilizer,365,Rabi,Loamy soil,Fruit
